elt_condition,pc_brand,pc_model,pc_cpu,pc_ram,pc_drive_capacity,usage_information,pc_vga,desktop_screen_size,elt_warranty,elt_origin,classify,price
Đã sử dụng (chưa sửa chữa),Dell,Latitude,Intel Core i5,8 GB,256 GB,In trên bao bì,Onboard,11 - 12.9 inch,Còn bảo hành,Đang cập nhật,laptop,4.290.000 đ
Đã sử dụng (chưa sửa chữa),Lenovo,ThinkPad,Intel Core i5,8 GB,128 GB,In trên bao bì,,,Bảo hành hãng,Đang cập nhật,laptop,1.000.000 đ
Đã sử dụng (chưa sửa chữa),Apple,MacBook Pro Touch Bar,Intel Core i7,16 GB,512 GB,In trên bao bì,AMD,15 - 16.9 inch,1 tháng,Mỹ,laptop,9.990.000 đ
Đã sử dụng (chưa sửa chữa),MSI,CR Series,Intel Core i5,4 GB,500 GB,In trên bao bì,,,Bảo hành hãng,Đang cập nhật,laptop,1.200.000 đ
Đã sử dụng (chưa sửa chữa),Hãng Khác,Dòng Khác,Intel Core i5,8 GB,256 GB,In trên bao bì,Onboard,11 - 12.9 inch,3 tháng,Nhật Bản,laptop,3.000.000 đ
Đã sử dụng (chưa sửa chữa),HP,Dòng Khác,Ryzen 5,8 GB,128 GB,In trên bao bì,Onboard,15 - 16.9 inch,Bảo hành hãng,Đang cập nhật,laptop,2.500.000 đ
Đã sử dụng (chưa sửa chữa),Apple,MacBook Pro M2 Touch Bar,Khác,16 GB,512 GB,In trên bao bì,Onboard,13 - 14.9 inch,3 tháng,Việt Nam,laptop,31.500.000 đ
Đã sử dụng (chưa sửa chữa),HP,Notebook,Intel Core i5,8 GB,512 GB,In trên bao bì,,15 - 16.9 inch,Bảo hành hãng,Đang cập nhật,laptop,3.300.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Inspiron,Intel Core i7,8 GB,256 GB,In trên bao bì,Onboard,13 - 14.9 inch,Còn bảo hành,Mỹ,laptop,6.100.000 đ
Đã sử dụng (chưa sửa chữa),HP,ProBook,Intel Core i7,16 GB,256 GB,In trên bao bì,Onboard,13 - 14.9 inch,2 tháng,Việt Nam,laptop,8.200.000 đ
Đã sử dụng (chưa sửa chữa),Acer,VX5,Intel Core i7,16 GB,1 TB,In trên bao bì,NVIDIA,15 - 16.9 inch,Hết bảo hành,Trung Quốc,laptop,14.000.000 đ
Đã sử dụng (chưa sửa chữa),Apple,MacBook Pro,Intel Core i5,8 GB,512 GB,In trên bao bì,Onboard,13 - 14.9 inch,Bảo hành hãng,Đang cập nhật,laptop,10.500.000 đ
Mới,Apple,MacBook Pro,Intel Core i9,16 GB,1 TB,In trên bao bì,AMD,15 - 16.9 inch,Hết bảo hành,Nhật Bản,laptop,23.000.000 đ
